name,description,tags,link
Artisan Promotion Officer,Promote artisan products,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-promotion-officer-activity-7207763283573960705-MT84?utm_source=share&utm_medium=member_desktop
Artisan Craftsman,Create artisan crafts,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-craftsman-activity-7207763283573960705-MT84?utm_source=share&utm_medium=member_desktop
Tourism Officer,Promote tourism in Uttarakhand,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_ob-title-tourism-officer-location-uttarakhand-activity-7207745190164393984-wMY1?utm_source=share&utm_medium=member_desktop
Tour Guide,Guide tourists in popular destinations,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_ob-title-tour-guide-location-uttarakhand-activity-7207745190164393984-wMY1?utm_source=share&utm_medium=member_desktop
Agricultural Development Officer,Promote agricultural development,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-development-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Agricultural Research Scientist,Conduct research to improve agricultural practices,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-research-scientist-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Artisan Marketing Manager,Manage marketing for artisan products,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-marketing-manager-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Tourism Coordinator,Coordinate tourism activities,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-tourism-coordinator-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Agricultural Extension Officer,Provide extension services to farmers,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-extension-officer-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Artisan Workshop Facilitator,Facilitate workshops for artisans,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-workshop-facilitator-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Artisan Coordinator,Coordinate artisan-related activities,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-coordinator-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Tourism Marketing Manager,Manage marketing for tourism,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-tourism-marketing-manager-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Tourism Development Officer,Work on projects for tourism development,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-tourism-development-officer-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Agricultural Education Specialist,Provide education on agricultural practices,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-education-specialist-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Artisan Product Designer,Design artisan products,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-product-designer-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Tourism Project Coordinator,Coordinate tourism projects,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-tourism-project-coordinator-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Agricultural Sales Manager,Manage sales of agricultural products,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-sales-manager-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Artisan Training Specialist,Provide training to artisans,artisans,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-artisan-training-specialist-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Tourism Events Coordinator,Coordinate tourism events,tourism,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-tourism-events-coordinator-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
Agricultural Policy Analyst,Analyze agricultural policies,agriculture,https://www.linkedin.com/posts/sakshi-patil-44bb39266_job-description-agricultural-policy-analyst-activity-7207764163337592832-c2xd?utm_source=share&utm_medium=member_desktop
